"('Shaoshan Liu', 2)"
"('Peter Huggins', 2)"
"('Arslan Munir', 2)"
"('Johannes Jakubik', 2)"
"('Drew Hemment', 2)"
"('Dave Murray-Rust', 2)"
"('Vaishak Belle', 2)"
"('Matjaz Vidmar', 2)"
"('Manas Gaur', 2)"
"('Kaushik Roy', 2)"
"('Thomas Krendl Gilbert', 2)"
"('Lior Pachter', 2)"
"('Yang Feng', 2)"
"('Anaelia Ovalle', 2)"
"('Kai-Wei Chang', 2)"
"('Laura Freeman', 2)"
"('Olivia Brown', 2)"
"('Justin Goodwin', 2)"
"('Nikolas Martelaro', 2)"
"('Xiaoming Zhai', 2)"
"('Rebecca W. Black', 2)"
"('Samuel Allen Alexander', 2)"
"('Lin Zhao', 2)"
"('Zihao Wu', 2)"
"('Haixing Dai', 2)"
"('Zhengliang Liu', 2)"
"('Xiang Li', 2)"
"('Dinggang Shen', 2)"
"('Marcus Hutter', 2)"
"('Gengchen Mai', 2)"
"('Ninghao Liu', 2)"
"('Guoyu Lu', 2)"
"('Sheng Li', 2)"
"('Changying Li', 2)"
"('Xin Gao', 2)"
"('Eray Özkural', 2)"
"('Anton Kolonin', 2)"
"('Jaime Llorca', 2)"
"('Antonia M. Tulino', 2)"
"('Andreas F. Molisch', 2)"
"('Shai Shalev-Shwartz', 1)"
"('Shaked Shammah', 1)"
"('Pei-Yu Chen', 1)"
"('Myrthe L. Tielman', 1)"
"('Dirk K. J. Heylen', 1)"
"('Catholijn M. Jonker', 1)"
"('M. Birna van Riemsdijk', 1)"
"('Matti Mäntymäki', 1)"
"('Matti Minkkinen', 1)"
"('Teemu Birkstedt', 1)"
"('Mika Viljanen', 1)"
"('Catalin Mitelut', 1)"
"('Ben Smith', 1)"
"('John Nay', 1)"
"('James Daily', 1)"
"('Shubao Zhang', 1)"
"('Vafa Ghazavi', 1)"
"('Gillian Hadfield', 1)"
"('Suzanne Tolmeijer', 1)"
"('Florian von Wangenheim', 1)"
"('Betty Li Hou', 1)"
"('Brian Patrick Green', 1)"
"('Willem van der Maden', 1)"
"('Derek Lomas', 1)"
"('Paul Hekkert', 1)"
"('Baihan Lin', 1)"
"('Djallel Bouneffouf', 1)"
"('Guillermo Cecchi', 1)"
"('Sarah Fabi', 1)"
"('Rebecca Gorman', 1)"
"('Yoon Kyung Lee', 1)"
"('Yong-Ha Park', 1)"
"('Sowon Hahn', 1)"
"('Pedro Fernandes', 1)"
"('Manuel Lopes', 1)"
"('Anthony Aguirre', 1)"
"('Gaia Dempsey', 1)"
"('Harry Surden', 1)"
"('Peter B. Reiner', 1)"
"('Malek Mechergui', 1)"
"('Alexandra Sasha Luccioni', 1)"
"('Maria De-Arteaga', 1)"
"('Na Zhang', 1)"
"('Kun Yue', 1)"
"('Chao Fang', 1)"
"('Jan H. Kirchner', 1)"
"('Logan Smith', 1)"
"('Jacques Thibodeau', 1)"
"('Kyle McDonell', 1)"
"('Laria Reynolds', 1)"
"('Lambert Hogenhout', 1)"
"('Ruchen Wen', 1)"
"('Raphael Koster', 1)"
"('Jan Balaguer', 1)"
"('Andrea Tacchetti', 1)"
"('Ari Weinstein', 1)"
"('Tina Zhu', 1)"
"('Oliver Hauser', 1)"
"('Duncan Williams', 1)"
"('Lucy Campbell-Gillingham', 1)"
"('Phoebe Thacker', 1)"
"('Matthew Botvinick', 1)"
"('Christopher Summerfield', 1)"
"('Olle Haggstrom', 1)"
"('Naman Shah', 1)"
"('Pulkit Verma', 1)"
"('Trevor Angle', 1)"
"('Siddharth Srivastava', 1)"
"('Dian Tjondronegoro', 1)"
"('Elizabeth Yuwono', 1)"
"('Brent Richards', 1)"
"('Damian Green', 1)"
"('Siiri Hatakka', 1)"
"('Mustafa Mert Çelikok', 1)"
"('Samuel Kaski', 1)"
"('Adrian Riechmann', 1)"
"('Hans-Jürgen Pfisterer', 1)"
"('Lopamudra Kundu', 1)"
"('Chris Dick', 1)"
"('Soma Velayutham', 1)"
"('Stephen McAleese', 1)"
"('Balint Gyevnar', 1)"
"('Nick Ferguson', 1)"
"('Burkhard Schafer', 1)"
"('Elizabeth Bondi', 1)"
"('Lily Xu', 1)"
"('Diana Acosta-Navas', 1)"
"('Jackson A. Killian', 1)"
"('Giulio Masetti', 1)"
"('Lee Sharkey', 1)"
"('Zhiqing Sun', 1)"
"('Yikang Shen', 1)"
"('Qinhong Zhou', 1)"
"('Hongxin Zhang', 1)"
"('Zhenfang Chen', 1)"
"('David Cox', 1)"
"('Yiming Yang', 1)"
